type,keyword,trend_stage,opportunity_score,reliable_recent,reliable_full,min_recent_mentions,min_full_mentions,total_mentions,avg_rating,satisfaction_gap,prior_per_1k_19_20,recent_per_1k_21_22,growth_pct,momentum_pct,product_count,product_share_pct,avg_product_rating,mentions_per_product,share_2016,share_2017,share_2018,share_2019,share_2020,share_2021,share_2022,share_2023,note
claim,pore,쇠퇴,35.3,True,True,3569,2588,29504,4.253,0.139,3.705,3.179,-14.19,4.13,10345,3.326,4.104,2.85,5.846,5.667,4.571,4.144,3.388,3.115,3.244,2.949,
claim,acne,쇠퇴,34.2,True,True,5044,4093,45994,4.284,0.17,5.99,4.689,-21.73,-4.36,6787,2.182,4.099,6.78,8.959,8.582,7.848,6.512,5.613,4.792,4.584,4.303,
claim,non-comedogenic,쇠퇴,28.4,True,True,59,39,533,4.094,-0.02,0.064,0.053,-16.3,14.03,1499,0.482,4.264,0.36,0.102,0.101,0.069,0.067,0.061,0.05,0.057,0.066,
claim,organic,쇠퇴,17.9,True,True,1604,1604,20223,4.281,0.167,2.43,1.543,-36.49,-10.46,13211,4.247,4.144,1.53,4.973,4.11,3.498,2.946,2.058,1.628,1.458,1.457,
formulation,patch,성장·개선기회,89.5,True,True,1869,868,14025,3.919,-0.195,1.722,2.09,21.36,16.1,2265,0.728,4.011,6.19,1.9,1.859,1.917,1.76,1.694,1.935,2.246,2.555,
formulation,stick,성장·개선기회,85.9,True,True,9860,3823,67268,3.318,-0.796,8.75,10.81,23.54,17.95,12946,4.162,3.94,5.2,8.368,8.134,8.263,8.492,8.936,9.924,11.705,11.731,
formulation,gel,성숙,67.3,True,True,18662,5340,105674,4.098,-0.016,15.461,16.903,9.33,15.17,25306,8.136,4.06,4.18,11.689,12.105,11.925,13.452,16.913,15.718,18.102,18.081,
formulation,oil,성숙,66.8,True,True,1069,442,7380,4.445,0.331,0.961,1.092,13.55,15.27,2933,0.943,4.162,2.52,1.022,0.905,1.089,0.951,0.969,1.015,1.17,1.439,
formulation,serum,성숙,65.0,True,True,5694,2845,41024,4.362,0.248,5.287,5.416,2.45,14.96,7371,2.37,4.111,5.57,6.229,6.279,5.692,5.46,5.161,5.041,5.795,7.104,
formulation,cream,성숙,63.2,True,True,15492,10205,130693,4.29,0.175,14.723,15.06,2.29,13.23,23414,7.528,4.152,5.58,23.773,20.865,19.025,15.667,14.04,14.131,16.0,15.993,
formulation,peel,성숙,60.5,True,True,5408,1999,33329,3.647,-0.467,4.545,5.192,14.23,4.3,7205,2.316,4.006,4.63,4.377,5.112,4.01,4.054,4.901,5.084,5.302,4.516,
formulation,ampoule,성장·안정,57.7,True,False,70,20,423,4.378,0.264,0.055,0.074,34.62,11.67,339,0.109,4.247,1.25,0.044,0.05,0.045,0.042,0.064,0.07,0.078,0.141,
formulation,roll-on,성숙,57.3,True,True,211,193,2226,4.002,-0.112,0.244,0.252,3.21,45.92,1304,0.419,4.089,1.71,0.427,0.395,0.412,0.316,0.192,0.205,0.299,0.231,
formulation,scrub,성숙,51.4,True,True,7766,2979,46721,4.266,0.151,6.683,6.955,4.07,3.97,9219,2.964,4.121,5.07,6.522,6.363,5.971,6.193,7.038,6.821,7.092,6.401,
formulation,foam,성숙,51.1,True,True,3894,1577,24613,4.033,-0.081,3.296,3.572,8.38,10.63,6921,2.225,4.165,3.56,3.453,3.344,3.218,2.974,3.529,3.393,3.754,3.644,
formulation,balm,쇠퇴,50.5,True,True,5156,3261,39827,4.377,0.263,5.482,4.616,-15.8,13.02,6996,2.249,4.236,5.69,7.139,6.909,6.957,6.013,5.098,4.335,4.899,4.754,
formulation,spray,성숙,49.1,True,True,16107,5964,102194,3.968,-0.147,14.765,14.762,-0.02,9.27,19438,6.249,4.14,5.26,13.054,12.493,14.409,14.997,14.597,14.111,15.42,14.815,
formulation,toner,쇠퇴,48.6,True,True,2556,1358,18930,4.454,0.34,2.725,2.28,-16.33,12.31,2378,0.765,4.214,7.96,2.974,3.524,3.247,2.925,2.581,2.149,2.413,2.439,
formulation,powder,성숙,46.8,True,True,10071,4670,66758,4.018,-0.096,9.219,9.013,-2.23,13.0,15043,4.836,4.104,4.44,10.348,9.55,9.373,8.959,9.406,8.466,9.567,9.592,
formulation,lotion,성숙,46.4,True,True,15056,8158,114003,4.279,0.164,15.003,13.729,-8.49,-0.66,13375,4.3,4.22,8.52,18.149,16.68,16.738,15.679,14.514,13.774,13.683,13.114,
formulation,pad,쇠퇴,42.7,True,True,266,156,1962,4.327,0.212,0.29,0.256,-11.59,28.6,967,0.311,4.044,2.03,0.343,0.328,0.326,0.316,0.27,0.224,0.288,0.291,
formulation,cushion,성숙,36.4,True,True,442,198,3010,3.989,-0.126,0.383,0.426,11.36,-4.73,2242,0.721,4.001,1.34,0.577,0.405,0.43,0.357,0.401,0.437,0.416,0.451,
formulation,cleanser,성숙,36.4,True,True,8310,4737,60739,4.423,0.309,8.192,7.386,-9.84,11.53,16133,5.187,4.158,3.76,10.368,9.825,9.301,8.725,7.807,6.986,7.791,7.149,
formulation,essence,성숙,34.5,True,True,579,301,4223,4.21,0.096,0.52,0.541,4.02,6.77,3541,1.138,4.112,1.19,0.659,0.661,0.606,0.514,0.525,0.524,0.559,0.674,
formulation,mist,성숙,30.2,True,True,2823,731,15966,4.201,0.087,2.609,2.581,-1.06,-1.17,4483,1.441,4.171,3.56,1.601,1.739,1.981,2.42,2.746,2.596,2.566,2.23,
formulation,sheet mask,쇠퇴,12.7,True,True,824,290,5130,4.422,0.307,0.977,0.759,-22.36,-2.54,2213,0.711,4.175,2.32,0.635,0.708,0.745,0.766,1.131,0.769,0.749,0.682,
ingredient,retinal,성숙,81.3,True,False,32,21,300,4.527,0.412,0.034,0.035,2.17,50.11,32,0.01,4.044,9.38,0.054,0.085,0.038,0.042,0.029,0.028,0.042,0.045,
ingredient,rice extract,성장·안정,77.5,True,False,73,15,549,4.406,0.292,0.061,0.086,41.35,47.14,437,0.14,4.199,1.26,0.076,0.047,0.027,0.053,0.067,0.07,0.103,0.223,
ingredient,urea,성장·안정,77.1,True,True,124,32,964,4.218,0.104,0.098,0.2,104.04,-2.91,338,0.109,4.245,2.85,0.072,0.097,0.136,0.078,0.113,0.203,0.197,0.2,
ingredient,centella,성장·안정,75.3,True,False,92,1,508,4.445,0.331,0.066,0.119,80.43,73.87,693,0.223,4.281,0.73,0.004,0.017,0.022,0.041,0.084,0.087,0.151,0.209,
ingredient,dimethicone,성장·개선기회,75.0,True,True,1699,461,11005,3.981,-0.133,1.498,1.935,29.14,15.14,7558,2.43,4.069,1.46,1.01,1.287,1.313,1.441,1.54,1.8,2.072,2.499,
ingredient,squalane,성장·안정,72.4,True,False,93,14,586,4.363,0.249,0.072,0.115,60.1,21.39,726,0.233,4.229,0.81,0.032,0.039,0.061,0.054,0.085,0.104,0.127,0.147,
ingredient,salicylic acid,성숙,71.8,True,True,256,136,2068,4.291,0.177,0.247,0.266,7.59,24.41,1203,0.387,4.206,1.72,0.357,0.314,0.241,0.267,0.232,0.237,0.295,0.236,
ingredient,ceramide,성장·안정,65.8,True,False,87,27,600,4.438,0.324,0.08,0.106,32.54,33.53,913,0.294,4.291,0.66,0.06,0.076,0.072,0.081,0.079,0.091,0.121,0.132,
ingredient,tea tree,쇠퇴,63.9,True,True,1224,739,9073,4.201,0.087,1.239,1.075,-13.28,8.92,2228,0.716,4.23,4.07,1.619,1.588,1.532,1.185,1.279,1.029,1.121,0.936,
ingredient,retinol,성숙,63.7,True,True,974,587,7043,4.382,0.268,0.976,0.883,-9.6,0.74,1435,0.461,4.176,4.91,1.293,1.27,1.038,1.001,0.959,0.879,0.886,1.102,
ingredient,hyaluronic acid,성숙,57.8,True,True,943,338,6063,4.39,0.276,0.85,0.831,-2.28,9.61,4809,1.546,4.163,1.26,0.966,0.698,0.597,0.764,0.913,0.793,0.869,1.093,
ingredient,fermented,성장·개선기회,57.6,True,False,39,10,284,3.743,-0.371,0.037,0.045,22.15,5.37,318,0.102,4.228,0.89,0.022,0.058,0.034,0.037,0.036,0.044,0.046,0.099,
ingredient,caffeine,성숙,57.6,True,False,96,25,724,4.243,0.129,0.097,0.088,-9.22,17.07,736,0.237,4.124,0.98,0.12,0.052,0.089,0.095,0.097,0.081,0.095,0.136,
ingredient,lactic acid,성숙,57.4,True,False,66,16,474,4.158,0.044,0.056,0.064,14.03,4.09,498,0.16,4.171,0.95,0.084,0.033,0.036,0.05,0.06,0.063,0.065,0.076,
ingredient,glycolic acid,쇠퇴,57.1,True,True,203,125,1947,4.218,0.104,0.217,0.181,-16.68,11.92,820,0.264,4.142,2.37,0.403,0.382,0.221,0.226,0.21,0.171,0.191,0.174,
ingredient,zinc oxide,쇠퇴,55.3,True,True,167,119,1538,3.895,-0.22,0.174,0.147,-15.38,8.29,653,0.21,4.075,2.36,0.297,0.244,0.215,0.205,0.152,0.142,0.153,0.099,
ingredient,vitamin e,성숙,53.2,True,True,500,274,4162,4.22,0.105,0.46,0.5,8.76,14.12,9113,2.93,4.188,0.46,0.828,0.562,0.606,0.468,0.454,0.467,0.533,0.552,
ingredient,panthenol,성장·개선기회,52.1,True,False,48,12,380,4.053,-0.062,0.038,0.062,60.96,-0.33,1364,0.439,4.205,0.28,0.06,0.025,0.033,0.03,0.044,0.062,0.062,0.072,
ingredient,clay,쇠퇴,51.8,True,True,256,158,1869,4.308,0.193,0.267,0.225,-15.69,8.81,1036,0.333,4.095,1.8,0.429,0.324,0.295,0.268,0.267,0.216,0.235,0.174,
ingredient,benzoyl peroxide,쇠퇴,51.6,True,True,61,36,627,4.359,0.245,0.068,0.058,-15.04,-5.07,136,0.044,4.144,4.61,0.132,0.111,0.065,0.066,0.069,0.059,0.056,0.041,
ingredient,peptide,성숙,51.1,True,True,148,73,1182,4.402,0.288,0.14,0.15,7.08,12.91,2183,0.702,4.061,0.54,0.188,0.184,0.13,0.147,0.135,0.141,0.159,0.176,
ingredient,vitamin c,쇠퇴,49.7,True,True,1152,911,10074,4.365,0.25,1.259,1.044,-17.08,0.45,3632,1.168,4.147,2.77,2.115,1.958,1.61,1.355,1.19,1.042,1.047,1.358,
ingredient,niacinamide,성장·안정,48.9,True,False,190,22,974,4.343,0.229,0.139,0.197,41.59,-19.83,1055,0.339,4.238,0.92,0.058,0.045,0.078,0.093,0.173,0.219,0.175,0.293,
ingredient,shea butter,쇠퇴,47.1,True,True,1134,829,10673,4.229,0.115,1.203,1.029,-14.43,0.35,7410,2.382,4.247,1.44,2.125,2.049,1.465,1.222,1.189,1.027,1.031,0.99,
ingredient,collagen,성장·안정,46.1,True,True,433,157,2998,4.377,0.263,0.369,0.457,23.65,-1.83,5450,1.752,4.08,0.55,0.459,0.328,0.279,0.337,0.393,0.461,0.453,0.63,
ingredient,probiotic,성장·안정,44.7,True,False,53,10,281,4.292,0.178,0.039,0.051,28.61,-7.56,378,0.122,4.263,0.74,0.022,0.027,0.036,0.024,0.051,0.053,0.049,0.062,
ingredient,green tea,성숙,41.3,True,True,346,179,2622,4.267,0.152,0.321,0.334,3.86,-7.07,2973,0.956,4.113,0.88,0.403,0.368,0.349,0.331,0.314,0.346,0.321,0.31,
ingredient,allantoin,성장·개선기회,41.3,True,False,33,7,214,4.023,-0.091,0.023,0.033,46.47,-16.54,567,0.182,4.23,0.38,0.02,0.016,0.02,0.011,0.032,0.036,0.03,0.035,
ingredient,aloe,쇠퇴,40.8,True,True,1576,794,11586,4.218,0.103,1.783,1.429,-19.83,0.51,9101,2.926,4.198,1.27,1.738,1.722,1.648,1.84,1.741,1.426,1.433,1.403,
ingredient,charcoal,쇠퇴,38.9,True,True,576,289,4326,4.061,-0.053,0.761,0.554,-27.27,-10.03,1414,0.455,4.192,3.06,0.633,0.837,0.78,0.803,0.731,0.583,0.524,0.409,
ingredient,argan oil,쇠퇴,38.9,True,True,588,588,7888,4.325,0.21,0.769,0.538,-30.02,-1.05,3942,1.267,4.177,2.0,2.135,1.481,1.167,0.842,0.716,0.541,0.535,0.438,
ingredient,glycerin,성숙,35.8,True,True,375,241,3670,4.07,-0.044,0.423,0.413,-2.53,-29.26,3176,1.021,4.215,1.16,0.555,0.494,0.494,0.418,0.427,0.483,0.341,0.446,
ingredient,rosehip,쇠퇴,31.6,True,True,172,172,2057,4.315,0.2,0.246,0.168,-31.82,-12.19,905,0.291,4.219,2.27,0.595,0.516,0.356,0.283,0.22,0.179,0.157,0.147,
ingredient,jojoba,쇠퇴,28.2,True,True,562,539,5958,4.46,0.346,0.782,0.529,-32.38,-6.4,4435,1.426,4.169,1.34,1.475,1.103,1.051,1.004,0.622,0.546,0.511,0.546,
ingredient,essential oil,쇠퇴,26.3,True,True,1679,1679,20218,4.441,0.327,3.013,1.659,-44.92,-14.83,10357,3.33,4.198,1.95,5.093,4.507,4.589,3.677,2.533,1.791,1.526,1.484,
ingredient,titanium dioxide,쇠퇴,25.9,True,True,61,43,681,3.499,-0.615,0.079,0.07,-11.36,-32.93,856,0.275,4.093,0.8,0.122,0.089,0.099,0.086,0.074,0.083,0.056,0.064,
ingredient,paraben,쇠퇴,19.2,True,True,582,380,5559,4.069,-0.046,0.72,0.538,-25.34,-3.21,18310,5.887,4.181,0.3,1.008,0.777,0.799,0.805,0.658,0.546,0.529,0.61,
ingredient,sulfate,쇠퇴,18.8,True,True,814,598,8121,4.031,-0.083,1.101,0.8,-27.27,-13.99,10157,3.265,4.191,0.8,1.503,1.223,1.295,1.292,0.962,0.86,0.74,0.754,
ingredient,azelaic acid,성장·안정,,False,False,12,0,82,4.244,0.13,0.01,0.019,87.38,-47.55,38,0.012,4.132,2.16,0.006,0.002,0.002,0.008,0.011,0.025,0.013,0.029,
ingredient,mandelic acid,성장·안정,,False,False,12,1,81,4.309,0.194,0.008,0.016,97.44,102.32,61,0.02,4.208,1.33,0.012,0.004,0.011,0.005,0.011,0.011,0.022,0.008,
ingredient,copper peptide,성숙,,False,False,4,0,31,4.161,0.047,0.004,0.004,5.77,26.45,44,0.014,4.073,0.7,0.002,0.006,0.0,0.003,0.005,0.004,0.005,0.004,
ingredient,snail mucin,성장·안정,,False,False,25,5,224,4.335,0.221,0.021,0.047,131.24,61.85,93,0.03,4.228,2.41,0.014,0.012,0.02,0.017,0.023,0.036,0.059,0.114,
ingredient,propolis,성숙,,False,False,22,7,158,4.089,-0.026,0.02,0.021,7.4,-10.98,240,0.077,4.314,0.66,0.034,0.021,0.016,0.009,0.028,0.023,0.02,0.031,
ingredient,mugwort,성장·안정,,False,False,13,2,74,4.446,0.332,0.009,0.016,64.53,28.13,146,0.047,4.131,0.51,0.008,0.006,0.004,0.005,0.012,0.014,0.017,0.012,
ingredient,heartleaf,판정불가,,False,False,0,0,23,4.435,0.321,0.0,0.008,,85.46,72,0.023,4.344,0.32,0.0,0.002,0.0,0.0,0.0,0.005,0.01,0.008,
ingredient,alpha arbutin,성장·개선기회,,False,False,6,2,59,3.983,-0.131,0.006,0.009,56.31,-8.96,161,0.052,3.946,0.37,0.012,0.01,0.005,0.005,0.006,0.009,0.008,0.012,
ingredient,kojic acid,성장·안정,,False,False,17,4,139,4.122,0.008,0.013,0.026,98.81,8.38,122,0.039,3.961,1.14,0.022,0.01,0.011,0.009,0.016,0.025,0.028,0.035,
ingredient,tranexamic acid,성장·개선기회,,False,False,1,0,30,4.033,-0.081,0.001,0.008,640.4,-35.63,33,0.011,4.073,0.91,0.002,0.0,0.004,0.001,0.001,0.01,0.006,0.014,
ingredient,glutathione,성장·개선기회,,False,False,8,0,46,4.065,-0.049,0.004,0.009,105.67,23.64,94,0.03,4.03,0.49,0.008,0.0,0.004,0.0,0.008,0.008,0.01,0.017,
ingredient,coenzyme q10,성숙,,False,False,16,10,199,4.417,0.303,0.017,0.017,1.46,48.37,327,0.105,4.151,0.61,0.056,0.029,0.027,0.013,0.019,0.014,0.02,0.012,
ingredient,resveratrol,쇠퇴,,False,False,3,0,48,4.188,0.073,0.008,0.005,-45.16,-56.65,118,0.038,4.151,0.41,0.012,0.002,0.004,0.005,0.011,0.006,0.003,0.01,
ingredient,ferulic acid,성숙,,False,False,27,17,268,4.19,0.076,0.027,0.026,-5.98,25.44,143,0.046,4.092,1.87,0.06,0.037,0.054,0.022,0.031,0.023,0.028,0.021,
ingredient,bakuchiol,성장·안정,,False,False,19,0,117,4.274,0.159,0.012,0.034,189.89,66.19,89,0.029,4.346,1.31,0.0,0.0,0.002,0.003,0.018,0.025,0.042,0.043,
ingredient,polyglutamic acid,판정불가,,False,False,0,0,6,4.833,0.719,0.0,0.002,,-32.56,22,0.007,4.309,0.27,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.002,
ingredient,ectoin,쇠퇴,,False,False,0,0,4,4.5,0.386,0.001,0.001,-17.73,-100.0,18,0.006,4.278,0.22,0.0,0.0,0.0,0.0,0.002,0.002,0.0,0.0,
ingredient,pdrn,성장·안정,,False,False,1,0,6,4.667,0.552,0.001,0.002,229.07,-66.28,15,0.005,4.22,0.4,0.0,0.0,0.0,0.0,0.001,0.003,0.001,0.002,
ingredient,exosome,판정불가,,False,False,0,0,2,4.5,0.386,0.0,0.0,,-100.0,8,0.003,4.412,0.25,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.002,
ingredient,beta glucan,성장·안정,,False,False,12,0,63,4.254,0.14,0.006,0.014,131.84,60.17,144,0.046,4.247,0.44,0.01,0.006,0.0,0.0,0.011,0.011,0.017,0.012,
ingredient,lha,성장·안정,,False,False,0,0,10,4.2,0.086,0.001,0.002,311.33,-100.0,4,0.001,4.125,2.5,0.002,0.0,0.0,0.001,0.0,0.005,0.0,0.002,
ingredient,tremella,성장·안정,,False,False,4,0,19,4.316,0.202,0.003,0.005,64.53,-32.56,54,0.017,4.228,0.35,0.002,0.0,0.0,0.0,0.005,0.005,0.004,0.006,
